Categoría,Descripción,Nivel,Área,Cantidad
Detención por Percance Cierre de vía,,,BSAR-BSCO-BSCR-BSR-BSMX,0.0
Incidencia de Unidad ,La mayoría de las incidencias derivan con fallas mecánicas y algunas por unidades fuera de línea,,BSAR-BSCO-BSCR-BSR-BSMX,7.0
Detención No Autorizada,Detecion para toma de alimentos,,BSAR-BSCO-BSCR-BSR-BSMX,10.0
Incidencia Línea/Operador ,,,BSAR-BSCO-BSCR-BSR-BSMX,4.0
Neumático Dañado,Reporte por ponchaduras,,BSAR-BSCO-BSCR-BSR-BSMX,7.0
Desvió de Ruta No Autorizado,,,BSAR-BSCO-BSCR-BSR-BSMX,5.0
Separación de Convoy,,,BSAR-BSCO-BSCR-BSR-BSMX,0.0
Reinicio de Ruta No Autorizado,,,BSAR-BSCO-BSCR-BSR-BSMX,0.0
Incidencia de Robo de Caja,,,BSAR-BSCO-BSCR-BSR-BSMX,0.0
Incidencia de Robo de Custodia ,,,BSAR-BSCO-BSCR-BSR-BSMX,0.0
,,,BSAR-BSCO-BSCR-BSR-BSMX,33.0
,,,BSAR-BSCO-BSCR-BSR-BSMX,
,,,BSAR-BSCO-BSCR-BSR-BSMX,
,,,BSAR-BSCO-BSCR-BSR-BSMX,
,,,BSAR-BSCO-BSCR-BSR-BSMX,
,,,BSAR-BSCO-BSCR-BSR-BSMX,
,,,BSAR-BSCO-BSCR-BSR-BSMX,
,,,BSAR-BSCO-BSCR-BSR-BSMX,
,,,BSAR-BSCO-BSCR-BSR-BSMX,
,,,BSAR-BSCO-BSCR-BSR-BSMX,
,,,BSAR-BSCO-BSCR-BSR-BSMX,
